player_display_name,position,week,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
Morgan Moses,OT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
DeMarcus Lawrence,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Jason Myers,K,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Leonard Williams,DE,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Jarran Reed,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Hunter Henry,TE,1,0,0,0,0,0,0,3,26,0,2.6,5.6
Kevin Byard,FS,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Mack Hollins,WR,1,0,0,0,0,0,0,4,51,0,5.1000000000000005,9.100000000000001
Eric Saubert,TE,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Cooper Kupp,WR,1,0,0,0,0,0,0,2,35,0,3.5,5.5
Michael Dickson,P,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Uchenna Nwosu,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Robert Spillane,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Carlton Davis III,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Sam Darnold,QB,1,1,13,0,0,0,0,0,0,0,0.52,0.52
Mitch Wishnowsky,P,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Julian Love,SAF,1,0,0,0,0,0,0,0,0,0,0.0,0.0
A.J. Brown,WR,1,0,0,0,0,0,0,3,26,0,2.6,5.6
Dre'Mont Jones,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Drew Lock,QB,1,16,187,1,2,13,0,0,0,0,12.780000000000001,12.780000000000001
Christian Elliss,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Rhamondre Stevenson,RB,1,0,0,0,18,51,0,5,44,0,9.5,14.5
Milton Williams,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Alijah Vera-Tucker,G,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Christian Barmore,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Ernest Jones,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Chazz Surratt,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh Jobe,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Marcus Jones,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Rodney Thomas,SAF,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Rashid Shaheed,WR,1,0,0,0,0,0,0,1,4,0,0.4,1.4
Abraham Lucas,OT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Romeo Doubs,WR,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Brady Russell,RB,1,0,0,0,0,0,0,2,20,0,2.0,4.0
Jaxon Smith-Njigba,WR,1,0,0,0,0,0,0,8,122,1,18.200000000000003,26.200000000000003
DeMario Douglas,WR,1,0,0,0,0,0,0,5,20,0,2.0,7.0
Cory Durden,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Patrick O'Connell,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Emanuel Wilson,RB,1,0,0,0,2,3,0,0,0,0,0.30000000000000004,0.30000000000000004
Drake Thomas,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Anthony Bradford,G,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Derick Hall,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Christian Gonzalez,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Devon Witherspoon,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
George Holani,RB,1,0,0,0,8,29,0,0,0,0,2.9000000000000004,2.9000000000000004
Byron Murphy II,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Dell Pettus,SAF,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Charles Woods,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
AJ Barner,TE,1,0,0,0,0,0,0,2,13,0,1.3,3.3
Nehemiah Pritchett,CB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Drake Maye,QB,1,23,178,1,7,47,0,0,0,0,9.82,9.82
Connor O'Toole,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Kyle Williams,WR,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Jared Wilson,C,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Andy Borregales,K,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Corey Kiner,RB,1,0,0,0,6,11,0,0,0,0,1.1,1.1
Lan Larison,RB,1,0,0,0,0,0,0,2,9,0,0.9,2.9
Elijah Ponder,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Montorie Foster Jr,WR,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Rylie Mills,DT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Will Campbell,OT,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Craig Woodson,SAF,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Namdi Obiazor,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
Eli Raridon,TE,1,0,0,0,0,0,0,1,2,1,6.2,7.2
Jadarian Price,RB,1,0,0,0,10,52,0,2,6,0,5.800000000000001,7.800000000000001
Gabe Jacas,LB,1,0,0,0,0,0,0,0,0,0,0.0,0.0
,,1,0,0,0,0,0,0,0,0,0,0.0,0.0
