game_id,week,game_date,day_of_week,posteam,defteam,desc,play_type,yards_gained,touchdown
2025_01_ARI_NO,1,2025-09-07,Sunday,,,GAME,,,
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,19-B.Grupe kicks 65 yards from NO 35 to ARI 0. 4-G.Dortch to ARI 22 for 22 yards (28-D.Stutsman).,kickoff,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(14:56) 6-J.Conner right tackle to ARI 25 for 3 yards (92-D.Godchaux).,run,3.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(14:18) (Shotgun) 1-K.Murray pass short left to 85-T.McBride pushed ob at ARI 36 for 11 yards (27-I.Yiadom).,pass,11.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(13:40) 1-K.Murray sacked at ARI 25 for -11 yards (94-C.Jordan).,pass,-11.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(12:57) (Shotgun) 6-J.Conner left end to ARI 23 for -2 yards (4-K.McKinstry).,run,-2.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(12:14) (Shotgun) 33-T.Benson left guard to ARI 24 for 1 yard (56-D.Davis).,run,1.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(11:39) 12-B.Gillikin punts 60 yards to NO 16, Center-46-A.Brewer. 22-R.Shaheed to NO 23 for 7 yards (27-A.Davis-Gaither; 84-E.Higgins).",punt,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(11:27) (Shotgun) 41-A.Kamara up the middle to NO 26 for 3 yards (27-A.Davis-Gaither; 93-C.Campbell).,run,3.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(10:55) (Shotgun) 2-S.Rattler pass incomplete short middle to 22-R.Shaheed (0-W.Johnson).,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(10:51) (Shotgun) 2-S.Rattler pass incomplete short right.,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(10:46) 32-K.Kroeger punts 47 yards to ARI 27, Center-49-Z.Wood. 4-G.Dortch to ARI 34 for 7 yards (58-C.Rumph; 53-J.Ford).",punt,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(10:34) 1-K.Murray pass short left to 85-T.McBride to ARI 39 for 5 yards (21-J.Reid).,pass,5.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(10:06) (No Huddle, Shotgun) 1-K.Murray scrambles right end ran ob at NO 48 for 13 yards (21-J.Reid).",run,13.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(9:28) (No Huddle, Shotgun) 6-J.Conner left tackle to NO 47 for 1 yard (23-J.Blackmon).",run,1.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(8:55) (No Huddle) 1-K.Murray sacked ob at NO 47 for 0 yards (96-C.Granderson).,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(8:11) (Shotgun) 1-K.Murray pass incomplete short middle to 18-M.Harrison (4-K.McKinstry). PENALTY on NO-4-K.McKinstry, Defensive Pass Interference, 13 yards, enforced at NO 47 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(8:05) (Shotgun) PENALTY on ARI-74-I.Adams, False Start, 5 yards, enforced at NO 34 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(8:05) (Shotgun) 1-K.Murray sacked at NO 39 for 0 yards (20-P.Werner).,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(7:22) (Shotgun) 6-J.Conner up the middle to NO 27 for 12 yards (21-J.Reid; 58-C.Rumph).,run,12.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(6:38) (Shotgun) 1-K.Murray pass short right to 14-Mi.Wilson to NO 22 for 5 yards (20-P.Werner).,pass,5.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(5:58) 6-J.Conner up the middle to NO 19 for 3 yards (56-D.Davis).,run,3.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(5:17) (Shotgun) 1-K.Murray pass incomplete short left to 84-E.Higgins (96-C.Granderson).,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(5:14) (Shotgun) PENALTY on ARI, Delay of Game, 5 yards, enforced at NO 19 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(5:14) (Shotgun) 1-K.Murray pass incomplete deep right to 14-Mi.Wilson.,pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(5:07) 38-C.Ryland 42 yard field goal is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",field_goal,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,38-C.Ryland kicks 62 yards from ARI 35 to NO 3. 5-K.Miller to NO 25 for 22 yards (44-O.Pappoe; 27-A.Davis-Gaither).,kickoff,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(4:56) (Shotgun) 2-S.Rattler pass short right to 83-J.Johnson to NO 36 for 11 yards (2-Ma.Wilson; 25-Z.Collins).,pass,11.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(4:33) (No Huddle, Shotgun) 2-S.Rattler right guard to NO 38 for 2 yards (93-C.Campbell).",run,2.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(4:14) (No Huddle, Shotgun) 2-S.Rattler pass short left to 12-C.Olave pushed ob at ARI 49 for 13 yards (16-M.Melton).",pass,13.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(3:39) (No Huddle, Shotgun) 2-S.Rattler pass short left to 41-A.Kamara pushed ob at ARI 48 for 1 yard (3-B.Baker; 16-M.Melton). PENALTY on NO-12-C.Olave, Illegal Shift, 5 yards, enforced at ARI 49 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(3:13) (Shotgun) 5-K.Miller left guard to ARI 44 for 10 yards (21-G.Williams; 2-Ma.Wilson).,run,10.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(2:33) (Shotgun) 41-A.Kamara right guard to ARI 42 for 2 yards (34-J.Thompson; 79-P.Mustipher). PENALTY on NO-51-C.Ruiz, Offensive Holding, 10 yards, enforced at ARI 44 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(2:11) (Shotgun) 2-S.Rattler pass deep left intended for 22-R.Shaheed INTERCEPTED by 0-W.Johnson at ARI 00. Touchback. PENALTY on ARI-16-M.Melton, Illegal Contact, 5 yards, enforced at NO 46 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(2:01) 72-A.Richards reported in as eligible. 41-A.Kamara right end to ARI 40 for 9 yards (27-A.Davis-Gaither).,run,9.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(1:21) (Shotgun) 77-D.Radunz reported in as eligible. 41-A.Kamara up the middle to ARI 38 for 2 yards (93-C.Campbell).,run,2.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(:44) (Shotgun) 2-S.Rattler pass incomplete short right. PENALTY on NO, Illegal Shift, 5 yards, enforced at ARI 38 - No Play. Penalty on NO, Illegal Formation, declined.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(:40) (Shotgun) 2-S.Rattler right end to ARI 37 for 6 yards (3-B.Baker).,run,6.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(:11) (No Huddle, Shotgun) 2-S.Rattler pass short left to 10-B.Cooks to ARI 25 for 12 yards (34-J.Thompson).",pass,12.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,END QUARTER 1,,,
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(15:00) (Shotgun) 2-S.Rattler pass short right to 41-A.Kamara to ARI 18 for 7 yards (93-C.Campbell; 34-J.Thompson).,pass,7.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(14:26) (No Huddle, Shotgun) 41-A.Kamara right guard for 18 yards, TOUCHDOWN.",run,18.0,1.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"19-B.Grupe extra point is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",extra_point,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"19-B.Grupe kicks 65 yards from NO 35 to end zone, Touchback to the ARI 35.",kickoff,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(14:20) (Shotgun) 1-K.Murray pass short right to 33-T.Benson to ARI 41 for 6 yards (1-A.Taylor; 27-I.Yiadom).,pass,6.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(13:41) (Shotgun) 1-K.Murray pass deep right to 18-M.Harrison ran ob at NO 14 for 45 yards (4-K.McKinstry).,pass,45.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(13:05) (No Huddle, Shotgun) 33-T.Benson up the middle to NO 10 for 4 yards (20-P.Werner; 92-D.Godchaux).",run,4.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(12:23) (Shotgun) 33-T.Benson right guard to NO 6 for 4 yards (92-D.Godchaux; 23-J.Blackmon).,run,4.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(11:39) (Shotgun) 1-K.Murray right end to NO 3 for 3 yards (23-J.Blackmon).,run,3.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(10:56) 1-K.Murray pass incomplete short right. PENALTY on NO-56-D.Davis, Defensive Holding, 2 yards, enforced at NO 3 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,(10:49) 6-J.Conner left guard to NO 1 for no gain (56-D.Davis).,run,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"(10:10) (Shotgun) 1-K.Murray pass short left to 18-M.Harrison for 1 yard, TOUCHDOWN.",pass,1.0,1.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,"38-C.Ryland extra point is GOOD, Center-46-A.Brewer, Holder-12-B.Gillikin.",extra_point,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,38-C.Ryland kicks 63 yards from ARI 35 to NO 2. 5-K.Miller pushed ob at NO 45 for 43 yards (31-E.Demercado).,kickoff,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(9:58) (Shotgun) 24-D.Neal up the middle to NO 49 for 4 yards (25-Z.Collins).,run,4.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(9:38) (No Huddle, Shotgun) 2-S.Rattler pass short left to 12-C.Olave to ARI 46 for 5 yards (2-Ma.Wilson).",pass,5.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(9:07) 2-S.Rattler up the middle to ARI 45 for 1 yard (2-Ma.Wilson; 27-A.Davis-Gaither). PENALTY on NO-77-D.Radunz, Offensive Offside, 4 yards, enforced at ARI 46 - No Play.",no_play,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(8:46) (Shotgun) 2-S.Rattler pass short left to 12-C.Olave to ARI 40 for 10 yards (34-J.Thompson).,pass,10.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(8:15) (No Huddle, Shotgun) 24-D.Neal left guard to ARI 35 for 5 yards (5-B.Browning; 34-J.Thompson).",run,5.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(7:50) (No Huddle, Shotgun) 2-S.Rattler pass short left to 83-J.Johnson to ARI 31 for 4 yards (16-M.Melton).",pass,4.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(7:11) 72-A.Richards reported in as eligible. 5-K.Miller right tackle to ARI 23 for 8 yards (34-J.Thompson; 16-M.Melton).,run,8.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(6:28) 5-K.Miller up the middle to ARI 21 for 2 yards (2-Ma.Wilson; 27-A.Davis-Gaither).,run,2.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(5:50) (Shotgun) 2-S.Rattler pass incomplete deep right. Penalty on NO-78-E.McCoy, Ineligible Downfield Pass, declined.",pass,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,(5:42) (Shotgun) 2-S.Rattler pass short middle to 12-C.Olave to ARI 18 for 3 yards (21-G.Williams) [10-J.Sweat].,pass,3.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,NO,ARI,"(5:02) 19-B.Grupe 36 yard field goal is GOOD, Center-49-Z.Wood, Holder-32-K.Kroeger.",field_goal,0.0,0.0
2025_01_ARI_NO,1,2025-09-07,Sunday,ARI,NO,19-B.Grupe kicks 65 yards from NO 35 to ARI 0. 31-E.Demercado to ARI 29 for 29 yards (44-I.Stalbird).,kickoff,0.0,0.0
